L'esprit du Seigneur emplit l'univers	GODARD Marcel	71			Pentecôte			SSA					71			
L'esprit du Seigneur emplit l'univers	GODARD Marcel	71			Pentecôte			SATB					71			
Prenons la main que Dieu nous tend	Akepsimas Jo	71			Mission		T 42-2	SATB					71			
Angyalkert	KODALY	72		hongrois	Noël			SA		"Noël ""le jardin des anges"""		XX	72			
Angyalok es pasztorok	KODALY	72		hongrois	Noël			SSAAA		"Noël ""les anges et les bergers"""		XX	72			
Genfi Zsoltar	KODALY	72		hongrois				SSA		Psaume 150		XX	72			
Négy olasz madrigal	KODALY	72		hongrois				SMSA			3 madrigaux		72			
Envoie ton Esprit Saint	BERTHIER Jacques	73			Pentecôte			SATB					73			
Esprit de Dieu, souffle de vie	MUGNIER	73			Pentecôte			Unisson					73			
Esprit toi qui guides	RIMAUD	73			Pentecôte			SATB/SA					73			
Jour du Vivant	DANIEL, Etienne	73			Pâques	Louange	IP34-92-8	SATB					73			
Notre Père (ton commun)	ANONYME	73				Notre Père		Unisson					73			
Seigneur est Saint, l'Esprit de Dieu prose parisienne	DIEUAIDE, Jean-Michel	73			Pentecôte			SATB					73			
En toi est la joie	GASTOLDI	74				Louange		SA					74			
En toi est la joie	GASTOLDI	74				Louange		SATB					74			
In dir ist Freude	GASTOLDI	74		allemand		Louange		SSATB					74			
Laisse-nous chanter avec toi	KLINGUER	74			Pâques		I 164	Unisson					74			
