We three kings of orient are;HOPKINS J.H.;716;;anglais;Epiphanie;;;SA;;harpe;;;;
Lumen ad revelationem gentium;ANONYME;5;;latin;Fête du 2 février;;;Unisson;;;;;;
Christ aujourd hui nous appelle;WACKENHEIM Michel;510;;français;Funér/Mystère de D;;SM176;SAB/SATB;;;;;;
In paradisum ;KRENEK Ernst;626;;latin;Funérailles;;;SmSA;;;;;;
Je crois que mon Sauveur est vivant;GODARD Marcel;222;;français;Funérailles;;;Solo/4VM;;;;;;
Gloria Patri;PALESTRINA;582;;latin;;Gloire au Père;;SATB;;;;;;
Splendeur jaillie;BERTHIER Jacques;278;;français;Hymne du matin;;P14-39-6;SAA;;;;;;
Popule Meus (2 tons différents);VICTORIA Tomas Luis de;245;;latin;Vendredi Saint;Impropère;;SATB;;;;;;
Christus factus est;HAYDN Michael;17;;latin;Jeudi saint;Graduel;;SATB;;;Motet;;;
Ecce vidimus;VIADANA Lodovico Grossi da;329;;latin;Jeudi Saint;;;SATB;;;;;;
L Eglise ouvre le livre;DUCHESNEAU;273;;français;Jeudi Saint;;;SATB;;;;;;
Pas de plus grand amour;BERTHIER Jacques;271;;français;Jeudi Saint;Méditation de Jean XV;;SATB;;;;;;
Ave Christe immolate;JOSQUIN DES PRES;546;;latin;Jeudi Saint St Sac;;;SATB;;;Mottet;;;
Benedictus;GIRAUD Patrick;124;;français;Laudes;Cantique de Zacharie;;SATB;;;;;;
Fais paraître ton jour;BERTHIER Jacques;80;;français;;Litanies;Y53;SATB;;;;;;
Litanie du Sacré-Coeur;BERTHIER Jacques;240;;français;;Litanies;Y 22-83;SATB;;;;;;
Litanies d appels;GODARD Marcel ;182;;français;;Litanies d'appels;;SAB;;;;;;
Litanies pénitentielles (Avent);GODARD Marcel;102;;français;Avent;Litanies;;SA;;;;;;
Litanies pénitentielles ( Noêl);GODARD Marcel;102;;français;Noël;Litanies;;SATB/;;;;;;
Touche nos oreilles;AKEPSIMAS Jo;498;;français;;Acclamation;U 28;SATB;;;;;;
Voix des prophètes;BERTHIER Jacques;513;;français;;Acclamation;U 7;SAB/SATB;;;;;;
Nul n est disciple ;BERTHIER Jacques/LAFARGUE Yves;243;;français;liturgie des heures;;;SATB;;;;;;
Appelés Enfants de Dieu = Béni soit Dieu le Père;L EMMANUEL;138;;français;;Louange;;SATB;;;;;;
Béni sois Dieu le Père = Appelés Enfants de Dieu;L EMMANUEL;138;;français;;Louange;;SATB;;;;;;
Dieu qui nous mets au monde;ANONYME;228;;français;;Louange;C128;SATB;;;;;;
Gloire à Toi,Seigneur des Anges;GELINEAU Joseph;240;;français;;Louange;C227-1;SSA;;;;;;
Grand Dieu nous te bénissons;ANONYME;228;;français;;Louange;;SATB;;;;;;
Je veux chanter mes hymnes;L EMMANUEL;138;;français;;Louange;;SATB;;;;;;
Lobe den Herren ;STRALSUND;412;;Al/Fr/Ang/Pol;;Louange;;SmSA;;;;;;
Lobet den Hernn , alle Vôlker;KROPFREITER;578;;allemand;;Louange;;SATB;;orgue;;;XXI;
Loué soit ton nom, vrai Dieu;GOUDIMEL;36;;français;;Louange;;SATB;;;;;XVI;
Nos Autem;ANERIO;356;;latin;;Louange;;SATB;;;;;XVI;
Nos autem;DESENCLOS;532;;latin;;Louange;;SATB;;;;;;
Nous te rendons grâce;HAUGUEL Charles-Eric;556;;français;;Louange;;SATB;;;;;;
Nous voici pour te rendre grâce;GODARD Marcel;251;;français;;Louange;;SA;;;;;;
O Lord my God;WESLEY Samuel;229;;anglais;;Louange;;SATB;;;;;;
O quam gloriosum;VICTORIA Tomas Luis de;401;;latin;;Louange;;SATB;;;;;;
Psaume116 -Louez le Seigneur,vous peuples de la terre;CAROL Henri;405;;français;;Louange;;SATB;;orgue;Psaume116;;;
Salmo;ANONYME;564;;italien;;Louange;;Unisson;;orgue;Psaume 66;;;
Sans un mot ,sans un cri;BERTHIER Jacques;244;;français;;Louange;;SATB;;;;;;
Sit nomen benedictum;LE GUENNANT;274;;français;;Louange;;SATB;;;;;XX;A jamais bénissons le nom du Seigneur
Tenons en éveil;BERTHIER Jacques;530;;français;;Louange;;SATB;;;;;;
Tenons en éveil ;BERTHIER Jacques/MAUCOURT;530;;français;;Louange;;SABar;;;;;;
Tout vient de Toi;OMBRIE Dominique;166;;français;;Entrée/Communion;C 166;SATB;;;;;;
Lobe den Herren;NEANDER/SOHREN;372;;allemand;;Louange;;SATB;;;;;XVII;
Père Seigneur du Ciel et de la Terre;DU BOULAY G.;425;;français;;Louange au Père;;SATB;;;;;;
Les mains ouvertes;VERCRUYSSE Odette;112;;français;;Louange des heures;P 93;Unisson;;;;;;
Nous ne savons pas ton mystère;GODARD Marcel;229;;français;;Louange des heures;P 22-83;Unisson;;;Hymne;;;
Lob und preis sei Gott dem Vater;SCHÜTZ Heinrich;452;;allemand;;Louange et Gloire;;SATB;;orgue;SWV 424;;XVII;
Epithalame;LA TOMBELLE Fernand de;347;;latin;Mariage;;;Unisson;;;;;;
Puissance et gloire (2 versions);ROZIER Claude;243;;français;Martyrs;;W 14;SA/SATB;;;;;;
Agnus Dei ;CASALI Giovanni battista;5;;latin;;Agnus Dei Messa Concertata;;SATB;;;;;;
Messe Allemande;SCHUBERT Franz;505;;allemand;;Messe Allemande;;SATB;;O97;;;;
Acclamations de la Prière Universelle;BERTHIER Jacques;219;;français;;Acclamation Messe au cœur de ce monde;;Solo/SATB;;;;;;
Messe pr les sociétés chorales;GOUNOD Charles;261;;latin;;Kyrie, Agnus Messe Chorale;;TTBB;;orgue;2° messe;;;
Réunie des quatre vents;DUMAS Henri;243;;français;Messe Chrismale;;;SATB;;;;;;
Exultons de sa joie;BERTHIER Jacques;217;français;français;;Entrée Messe St Jean Baptiste;;Solo/4VM;;;;;;
Postula a me ;ANONYME;223;grégorien;;Messe du Christ Roi;Offertoire Messe du Christ Roi;;Solo/4VM;;;;;;
Agnus Dei ;LOTTI Antonio;198;;latin;;Agnus Dei Messe en La;;Solo/SATB;;;;;;
Agnus Dei;LOTTI Antonio;198;;latin;Messe ;Agnus Dei en si b;;Solo/SATB;;;;;;
Agnus Dei;LASSUS Orlando de;135;;latin;;Agnus Dei Messe Octavi Toni;;SATB;;;;;;
Allez par toute la terre ;BERTHIER Jacques;194;;français;Messe Pro Europa;;TL20-76;Solo/4VM;;;;;;
Parole du Seigneur Jésus (Messe Pro Europa)  ;BERTHIER Jacques;194;;français;Messe Pro Europa;Communion;;Solo/4VM;;;;;;
Agneau de Dieu;ISOIR;6;;français;Messe St Séverin;Agnus Dei (2 versions);;SATB;;;;;;
A ce monde que tu fais;BERTHIER Jacques;268;;français;Messe Vienne la paix;Entrée;T154-1;Unisson;;;;;XX;
Acclamation de la Prière eucharistiquepour la réconciliaion;BERTHIER Jacques;268;;français;Messe Vienne la paix;Acclamation;;SATB;;;;;;
Agneau de Dieu ;BERTHIER Jacques;216;;français;Messe Vienne la Paix;Agnus Dei;;Solo/SATB;;;;;;
Agneau de l Alliance fidèle;BERTHIER Jacques;268;;français;Messe Vienne la paix;Agnus Dei;;SATB;;orgue;;;;
Alleluia,la paix de Dieu pour les nations;BERTHIER Jacques;268;;français;Messe Vienne la paix;Alleluia;;SATB;;orgue;;;;
Exultons de joie, artisans de paix;BERTHIER Jacques;268;;français;Messe Vienne la paix;Entrée;;SATB;;orgue;;;;
Gloire à Dieu dans les hauteurs;BERTHIER Jacques;268;;français;Messe Vienne la paix;Gloria;;SATB;;orgue;;;;
